habit_name,periodicity,owner,datetime_of_completion
Yoga,Weekly,testuser1,2021-05-18 18:18:58.690152
Yoga,Weekly,testuser1,2021-05-25 18:00:31.108563
Yoga,Weekly,testuser1,2021-06-09 18:20:37.292187
Yoga,Weekly,testuser1,2021-06-22 17:10:40.730695
Yoga,Weekly,testuser1,2021-06-25 18:30:54.475426
Yoga,Weekly,testuser1,2021-07-02 17:21:03.603940
Yoga,Weekly,testuser1,2021-07-09 18:01:08.083291
Yoga,Weekly,testuser1,2021-07-11 16:21:21.358381
Yoga,Weekly,testuser1,2021-07-12 16:21:25.411913
Yoga,Weekly,testuser1,2021-07-27 17:21:34.380509
Walking,Daily,testuser1,2021-07-01 10:21:43.626278
Walking,Daily,testuser1,2021-07-03 09:21:47.667145
Walking,Daily,testuser1,2021-07-04 08:21:51.747622
Walking,Daily,testuser1,2021-07-05 08:21:55.755912
Walking,Daily,testuser1,2021-07-06 09:21:59.265939
Walking,Daily,testuser1,2021-07-09 08:22:02.819920
Walking,Daily,testuser1,2021-07-10 08:22:06.378373
Walking,Daily,testuser1,2021-07-11 10:22:09.986765
Walking,Daily,testuser1,2021-07-12 18:22:13.698021
Walking,Daily,testuser1,2021-07-12 08:22:25.804120
Drawing,Weekly,testuser1,2021-05-01 12:22:36.313170
Drawing,Weekly,testuser1,2021-05-06 18:22:40.090525
Drawing,Weekly,testuser1,2021-05-10 18:32:44.649240
Drawing,Weekly,testuser1,2021-05-13 19:22:49.018219
Drawing,Weekly,testuser1,2021-05-19 08:22:54.881736
Drawing,Weekly,testuser1,2021-05-27 18:22:58.914074
Drawing,Weekly,testuser1,2021-06-07 18:23:03.322850
Drawing,Weekly,testuser1,2021-06-16 08:23:08.691727
Drawing,Weekly,testuser1,2021-06-25 08:23:16.360797
Drawing,Weekly,testuser1,2021-07-07 18:23:26.913183
Walking,Daily,testuser1,2021-07-26 20:45:35.393382
Singing,Daily,testuser1,2021-07-26 20:47:49.513997
Drawing,Weekly,testuser1,2021-07-08 09:37:26.267834
Drawing,Weekly,testuser1,2021-07-13 09:37:30.854751
Drawing,Weekly,testuser1,2021-07-20 09:37:36.028823
Drawing,Weekly,testuser1,2021-07-30 09:37:40.020545
Drawing,Weekly,testuser1,2021-07-30 12:03:52.014124
Jogging,Weekly,testuser2,2021-07-20 14:03:11.477723
Jogging,Weekly,testuser2,2021-07-21 14:11:28.564862
Jogging,Weekly,testuser2,2021-07-30 14:18:44.571923
Jogging,Weekly,testuser2,2021-07-31 14:34:42.430404
Singing,Daily,testuser1,2021-07-06 19:24:06.032477
Singing,Daily,testuser1,2021-07-18 14:24:10.656477
Singing,Daily,testuser1,2021-07-20 18:34:13.841083
Singing,Daily,testuser1,2021-07-23 14:24:20.775890
Singing,Daily,testuser1,2021-07-24 10:24:24.572929
Singing,Daily,testuser1,2021-07-25 10:24:29.200193
Singing,Daily,testuser1,2021-07-26 14:24:34.287603
Singing,Daily,testuser1,2021-08-01 17:24:38.375497
Singing,Daily,testuser1,2021-08-02 13:04:52.789934
Singing,Daily,testuser1,2021-08-03 14:14:50.191415
Singing,Daily,testuser1,2021-08-05 10:25:02.218001
Singing,Daily,testuser1,2021-08-06 14:25:06.601136
Meditation,Weekly,testuser1,2021-06-05 13:25:17.855341
Meditation,Weekly,testuser1,2021-06-11 14:25:26.640388
Meditation,Weekly,testuser1,2021-06-18 20:25:31.438584
Meditation,Weekly,testuser1,2021-06-06 13:25:36.191640
Meditation,Weekly,testuser1,2021-07-03 14:25:39.655070
Meditation,Weekly,testuser1,2021-07-06 14:25:44.864039
Meditation,Weekly,testuser1,2021-07-08 13:25:49.000294
Meditation,Weekly,testuser1,2021-07-16 20:25:53.207438
Meditation,Weekly,testuser1,2021-07-18 13:25:57.119341
Meditation,Weekly,testuser1,2021-07-30 14:26:01.685335
Meditation,Weekly,testuser1,2021-08-06 12:26:06.055712
Meditation,Weekly,testuser1,2021-08-11 17:26:10.063802
Meditation,Weekly,testuser1,2021-08-18 14:26:14.168217
Journaling,Daily,testuser1,2021-07-20 14:26:30.198037
Journaling,Daily,testuser1,2021-07-26 14:26:33.694242
Journaling,Daily,testuser1,2021-07-26 14:26:36.711188
Journaling,Daily,testuser1,2021-07-29 14:26:40.167914
Journaling,Daily,testuser1,2021-07-30 14:26:43.527700
Journaling,Daily,testuser1,2021-07-31 04:26:47.510949
Journaling,Daily,testuser1,2021-08-01 10:26:50.816223
Journaling,Daily,testuser1,2021-08-06 14:26:56.007902
Journaling,Daily,testuser1,2021-08-14 10:26:59.262677
Journaling,Daily,testuser1,2021-08-15 14:27:06.040579
Journaling,Daily,testuser1,2021-08-16 14:27:15.150087
Journaling,Daily,testuser1,2021-08-17 14:27:22.981674
Journaling,Daily,testuser1,2021-08-18 14:27:26.870421
Yoga,Weekly,testuser1,2021-08-06 14:27:40.303914
Walking,Daily,testuser1,2021-08-06 14:27:55.007240
Journaling,Daily,testuser1,2021-08-07 11:53:36.227151
Walking,Daily,testuser1,2021-08-07 11:57:59.369350
Walking,Daily,testuser2,2021-08-01 10:38:56.873295
Walking,Daily,testuser2,2021-08-02 12:39:01.439463
Meditation,Daily,testuser2,2021-08-03 10:39:05.872301
Meditation,Daily,testuser2,2021-08-04 12:39:11.201366
Meditation,Daily,testuser2,2021-08-07 12:39:16.256710
